Author,Date,Text,Location
copoflolis,2019-11-03 23:25,Konosubastuff whats canada,NaN
vradrian,2019-11-03 23:25,RT CBCCanada Canadas Kim Boutin sets short track world record in womens m httpstcowVqjRQtUXr httpstcodHmNEWQgHL,NaN
Freecanuck,2019-11-03 23:26,"RT mannyottawa Canada vs Quebec 

Immigration values test   vs 
Bill  no religious wear   vs 
Dumping sewage in rivers   vs",Toronto Ontario
LeeRunsForGin,2019-11-03 23:26,So today consisted of coffee and a catch up with the lovely sparklyang followed by hours of researching and booki httpstcoulBLyyYKW,Cardiff UK
knaas,2019-11-03 23:26,turneresq MLS realsaltlake I had some interesting conversations about team partnerships and how MLS partnerships httpstcodJlvbXmXM,Columbus OH
JanetInglis,2019-11-03 23:26,"How have they been so easily dismantled in countries like Canada and the UK
Countries with reputations as leaders httpstcoJfcbTNvE",Australia
okayinthesea,2019-11-03 23:26,mega Ok I bought both of these but please Im begging you to make them available in longsleeve Theyd both be b httpstcoEmiYFJBZ,theythem pronouns pls
kreay,2019-11-03 23:26,"RT FairVoteCanada This  This is why electoralreform matters
JustinTrudeau theJagmeetSingh ElizabethMay
 
New Zealand got rid of ",NaN
SPhilip,2019-11-03 23:26,"RT cravecreative Yes He is definitely following orders amp yes he is breaking this country apart
No doubt in my mind No one does this to",NaN
GeorgeP,2019-11-03 23:26,"RT DetmerMike This is what happens when the government decides if you live or die

httpstcoCuvgfLNh",NaN
gerritheikamp,2019-11-03 23:26,"RT mannyottawa Canada vs Quebec 

Immigration values test   vs 
Bill  no religious wear   vs 
Dumping sewage in rivers   vs",Calgary Alberta
windowmace,2019-11-03 23:26,"RT mannyottawa WARNING  
If you are triggered about ClimateCrisis and as afraid as GretaThunberg dont read this tweet

China
",NaN
Marvelanne,2019-11-03 23:26,Goodnight All We could of had this Canada could have been saved But stupidity in Ontario Quebec and Atlantic Ca httpstcohIftnNAjo,Ontario Canada
SinadCollns,2019-11-03 23:26,RT ballsdotie The Irish Womens Hockey Team have qualified for the  Olympics in Tokyo after a dramatic penalty shootout win over Can,Ireland
EvanMcFatridge,2019-11-03 23:26,"RT Lawsome This law is disturbingly broad and is rightly being challenged

Watch what you tweet new election law chills speech say",Halifax Nova Scotia
HHHArron,2019-11-03 23:26,askmeek MeekMill Will you be coming to Canada soon,NaN
subvoyeur,2019-11-03 23:26,RT JanisIrwin When I arrived here I felt that this country and the Edmonton community saved my life and they brought me here so I have,Toronto Ontario
minyoongiibts,2019-11-03 23:26,RT amandarachlee this video genuinely disgusts me canada is unabashedly multicultural speak whatever language you want here  httpst,NaN
GaryWKinsman,2019-11-03 23:26,RT TorontoStar Asylum seekers who were turned away by Canada at the CanadaUS border will finally have their day in court to explain wh,gkinsmanlaurentianca
brotherlogan,2019-11-03 23:26,RT Mariola Canadas seniors are becoming the new face of homelessness  Trudeau is turning Canada into third world country but w,NaN
Bluemist,2019-11-03 23:26,OMG  OMG this is horrible  Fires in the States Canada AustraliaThe planet mother nature is about to r httpstcokJzaJRdv,Ottawa Ontario
SSJGeorge,2019-11-03 23:26,"RT barstoolsports Shut down Canada and start it all over

httpstcoJuvzzISQy",NaN
ghostcatbce,2019-11-03 23:26,RT ssolyom Canadian voters already held the CPCHQ to account for their relentless reckless lying But it would be nice if you could st,Calgary Alberta Canada
robcarlsonca,2019-11-03 23:26,"RT CoryBMorgan billion Pacific NorthWest LNG project by Petronas Bhd CANCELLED 

 Nexens billion Aurora LNG project CANCELLED",Calgary Alberta
